,subject_id,session_id,test_acc,test_acc_ww
0,1.0,2.0,0.8444444537162781,0.7179740071296692
1,1.0,3.0,0.8417266011238098,0.6757156252861023
2,1.0,4.0,0.9485294222831726,0.8268064260482788
3,1.0,5.0,0.8928571343421936,0.7493842244148254
4,1.0,6.0,0.8962963223457336,0.7877850532531738
5,1.0,7.0,0.9428571462631226,0.8107963800430298
6,1.0,8.0,0.8840579986572266,0.7527926564216614
7,1.0,9.0,0.8928571343421936,0.7632153630256653
8,1.0,10.0,0.9015151262283325,0.8044857978820801
9,1.0,11.0,0.9343065619468689,0.8165121674537659
